job_family,seniority,contract_type,region_code,remote_flag,min_years_exp,edu_min,responsibilities_count,requirements_count,tools_mentioned,lang_req,tech_skill,data_skill,design_skill,sales_skill,marketing_skill,ops_skill,salary_min,salary_max,salary_per_year_exp,req_to_resp_ratio,skill_density,complexity,jd_text
4,4,1,4,0,12.44,0,12,18,7,2,48.5,57.6,55.4,48.7,100.0,52.3,103380,123290,8433.61,1.5,12.085,1.976,"Lead Marketing role. Focus on ads, campaigns, and content. Requirements: 18 items; Responsibilities: 12 items."
2,0,2,4,0,1.75,1,5,5,5,1,33.4,33.5,89.0,38.7,27.9,9.3,25416,26416,9407.09,1.0,23.179,0.386,"Intern Design role. Focus on UX/UI, prototypes, and design system. Requirements: 5 items; Responsibilities: 5 items."
0,1,2,4,0,5.55,1,15,9,10,0,93.4,14.8,18.6,62.7,28.7,32.2,46211,64051,8417.05,0.6,10.429,1.377,"Junior Software role. Focus on code review, backend, and CI/CD. Requirements: 9 items; Responsibilities: 15 items."
0,2,0,3,0,4.79,2,8,14,19,1,100.0,35.3,54.3,27.2,41.0,58.4,39451,104941,12465.54,1.75,14.372,1.987,"Mid Software role. Focus on frontend, CI/CD, and code review. Requirements: 14 items; Responsibilities: 8 items."
4,2,0,2,0,5.23,0,10,12,8,2,66.2,68.7,53.1,32.5,76.2,45.0,43080,67747,8901.06,1.2,15.529,1.452,"Mid Marketing role. Focus on brand, campaigns, and analytics. Requirements: 12 items; Responsibilities: 10 items."
2,1,0,5,1,3.03,1,5,10,7,2,26.1,35.5,56.5,32.0,10.4,39.2,48158,63856,13914.43,2.0,13.312,0.258,"Junior Design role. Focus on design system, user research, and usability. Requirements: 10 items; Responsibilities: 5 items."
3,3,1,2,0,8.41,2,12,14,6,0,36.1,53.0,39.1,86.9,53.4,39.9,71896,114359,9898.26,1.167,11.859,1.653,"Senior Sales role. Focus on pipeline, leads, and CRM. Requirements: 14 items; Responsibilities: 12 items."
1,1,1,1,1,4.22,3,9,13,11,0,31.6,93.7,30.2,59.0,30.4,50.2,45274,71479,11179.55,1.444,13.409,0.659,"Junior Data role. Focus on SQL, dashboard, and ETL. Requirements: 13 items; Responsibilities: 9 items."
4,2,1,5,1,8.83,1,14,15,8,1,55.2,40.9,42.9,42.4,39.9,46.9,57815,106289,8349.09,1.071,9.247,2.088,"Mid Marketing role. Focus on content, brand, and analytics. Requirements: 15 items; Responsibilities: 14 items."
0,1,1,0,0,4.58,2,2,8,13,1,94.7,59.5,61.7,53.1,45.6,65.2,46517,67198,10180.43,4.0,37.983,1.33,"Junior Software role. Focus on CI/CD, code review, and microservices. Requirements: 8 items; Responsibilities: 2 items."
5,1,0,5,0,3.77,2,8,11,11,0,44.1,36.3,42.8,34.3,40.9,75.3,29683,45554,7880.37,1.375,14.399,0.741,"Junior Operations role. Focus on logistics, SOP, and reporting. Requirements: 11 items; Responsibilities: 8 items."
4,4,1,3,0,13.29,1,16,25,6,0,47.6,79.6,57.8,46.1,81.5,58.9,114287,115287,8030.98,1.562,9.062,2.206,"Lead Marketing role. Focus on SEO, campaigns, and brand. Requirements: 25 items; Responsibilities: 16 items."
0,1,0,0,0,2.35,2,10,8,4,0,47.1,51.1,57.0,27.0,36.1,24.6,50711,53242,15526.6,0.8,13.497,1.203,"Junior Software role. Focus on frontend, backend, and code review. Requirements: 8 items; Responsibilities: 10 items."
3,4,0,0,0,7.67,1,13,21,9,1,53.9,50.2,27.0,78.8,80.4,57.9,100700,127940,13190.5,1.615,10.242,1.505,"Lead Sales role. Focus on quota, account, and closing. Requirements: 21 items; Responsibilities: 13 items."
5,3,1,2,1,9.4,1,13,22,13,0,44.5,52.8,35.7,71.9,37.8,83.1,76476,110540,8988.35,1.692,9.309,2.426,"Senior Operations role. Focus on coordination, process, and quality. Requirements: 22 items; Responsibilities: 13 items."
3,2,0,0,0,6.11,2,15,12,10,1,31.6,33.6,5.7,88.3,57.5,28.9,33595,77503,7810.24,0.8,9.094,1.074,"Mid Sales role. Focus on closing, account, and pipeline. Requirements: 12 items; Responsibilities: 15 items."
3,2,1,0,1,6.03,1,11,15,8,0,42.4,32.3,29.6,65.7,44.8,53.8,51830,64857,8296.82,1.364,10.332,1.727,"Mid Sales role. Focus on leads, closing, and pipeline. Requirements: 15 items; Responsibilities: 11 items."
5,0,2,3,1,2.44,2,11,3,9,2,29.8,38.7,35.5,44.9,47.7,66.8,26630,29518,8169.52,0.273,18.809,0.472,"Intern Operations role. Focus on logistics, process, and reporting. Requirements: 3 items; Responsibilities: 11 items."
3,3,0,5,0,7.49,1,9,19,8,1,32.9,45.4,36.7,62.8,28.2,58.4,114485,119240,13761.78,2.111,9.441,0.361,"Senior Sales role. Focus on leads, CRM, and pipeline. Requirements: 19 items; Responsibilities: 9 items."
3,2,1,2,0,5.64,1,9,14,10,1,54.0,40.7,67.4,77.4,9.4,35.6,53346,54346,8115.47,1.556,12.374,1.223,"Mid Sales role. Focus on quota, account, and closing. Requirements: 14 items; Responsibilities: 9 items."
1,2,0,4,1,6.47,0,10,15,16,1,44.3,84.4,63.2,61.9,27.7,58.4,40507,96270,9151.35,1.5,13.601,2.746,"Mid Data role. Focus on SQL, dashboard, and ETL. Requirements: 15 items; Responsibilities: 10 items."
5,3,0,5,1,9.37,2,10,15,3,2,36.6,13.1,43.1,50.8,58.2,100.0,56729,57729,5520.28,1.5,12.073,1.241,"Senior Operations role. Focus on logistics, SOP, and reporting. Requirements: 15 items; Responsibilities: 10 items."
2,2,1,4,0,7.5,1,12,15,8,0,53.1,53.7,95.8,42.0,26.1,58.0,40190,87021,7479.01,1.25,12.174,1.472,"Mid Design role. Focus on user research, design system, and UX/UI. Requirements: 15 items; Responsibilities: 12 items."
4,0,2,3,1,1.37,0,3,10,2,0,32.8,28.1,30.4,54.6,65.5,30.3,20348,26887,9955.99,3.333,18.599,0.667,"Intern Marketing role. Focus on brand, campaigns, and content. Requirements: 10 items; Responsibilities: 3 items."
1,1,2,2,0,3.92,3,9,12,14,2,35.8,62.7,39.5,58.1,60.9,26.5,41511,90189,13382.34,1.333,13.5,0.861,"Junior Data role. Focus on modeling, dashboard, and pipelines. Requirements: 12 items; Responsibilities: 9 items."
3,2,1,3,0,1.7,1,6,12,5,2,46.7,42.8,33.3,92.9,38.7,62.6,56670,86915,26602.99,2.0,17.607,0.243,"Mid Sales role. Focus on quota, account, and closing. Requirements: 12 items; Responsibilities: 6 items."
5,2,1,1,0,7.91,1,8,12,10,0,52.0,53.5,54.5,24.1,58.4,75.5,43570,72393,6506.94,1.5,15.898,1.32,"Mid Operations role. Focus on reporting, SOP, and logistics. Requirements: 12 items; Responsibilities: 8 items."
3,1,1,2,1,1.16,1,9,10,7,0,44.5,28.3,38.3,68.1,38.7,33.2,36098,52635,20544.0,1.111,13.22,0.799,"Junior Sales role. Focus on CRM, closing, and pipeline. Requirements: 10 items; Responsibilities: 9 items."
0,1,0,2,0,3.45,3,10,9,7,0,67.3,33.5,36.5,54.3,55.9,43.5,38423,39423,8739.55,0.9,15.313,1.197,"Junior Software role. Focus on CI/CD, microservices, and frontend. Requirements: 9 items; Responsibilities: 10 items."
2,1,0,1,0,7.33,3,6,7,4,1,35.7,19.6,75.2,27.5,24.7,36.4,49611,85794,8123.46,1.167,16.861,0.952,"Junior Design role. Focus on user research, wireframes, and usability. Requirements: 7 items; Responsibilities: 6 items."
0,3,0,5,1,7.5,3,9,11,12,1,83.9,35.5,66.1,55.5,61.8,51.6,83268,165821,14649.35,1.222,17.719,2.314,"Senior Software role. Focus on backend, API, and frontend. Requirements: 11 items; Responsibilities: 9 items."
2,4,1,0,0,7.09,1,16,17,18,2,46.3,63.5,75.4,37.7,41.7,50.5,84925,106825,11846.22,1.062,9.548,3.557,"Lead Design role. Focus on user research, UX/UI, and design system. Requirements: 17 items; Responsibilities: 16 items."
2,4,1,0,1,13.82,1,12,15,7,1,36.7,58.1,83.8,36.1,58.1,59.4,105213,137100,8173.56,1.25,12.304,1.835,"Lead Design role. Focus on usability, user research, and prototypes. Requirements: 15 items; Responsibilities: 12 items."
4,2,1,1,1,4.88,0,11,11,8,2,29.7,29.7,47.4,59.2,77.4,29.3,33196,116244,12717.2,1.0,12.393,1.432,"Mid Marketing role. Focus on analytics, SEO, and campaigns. Requirements: 11 items; Responsibilities: 11 items."
3,3,0,5,0,7.81,2,16,11,10,2,55.4,39.6,51.0,69.3,50.7,51.4,89774,110728,11377.0,0.687,11.762,1.956,"Senior Sales role. Focus on closing, quota, and pipeline. Requirements: 11 items; Responsibilities: 16 items."
3,1,0,4,0,3.27,2,10,6,11,0,63.4,55.2,53.8,61.7,61.5,47.0,41415,59719,11844.14,0.6,21.413,1.252,"Junior Sales role. Focus on CRM, closing, and pipeline. Requirements: 6 items; Responsibilities: 10 items."
5,1,0,5,1,4.62,0,4,9,8,1,42.1,32.9,26.9,35.5,58.0,74.4,35963,36963,6483.99,2.25,20.755,1.466,"Junior Operations role. Focus on logistics, SOP, and quality. Requirements: 9 items; Responsibilities: 4 items."
2,3,0,1,0,9.6,1,16,14,10,2,47.3,30.0,70.8,54.0,37.2,57.4,83740,106467,8969.29,0.875,9.893,1.854,"Senior Design role. Focus on design system, UX/UI, and wireframes. Requirements: 14 items; Responsibilities: 16 items."
5,1,0,4,0,3.33,2,11,16,3,0,24.0,27.1,24.0,31.0,53.7,86.5,33923,34923,7947.61,1.455,9.12,1.609,"Junior Operations role. Focus on reporting, SOP, and quality. Requirements: 16 items; Responsibilities: 11 items."
3,1,0,2,0,5.19,1,7,9,10,2,49.2,21.9,53.5,100.0,45.1,38.0,42926,75054,9532.57,1.286,19.237,1.557,"Junior Sales role. Focus on closing, CRM, and pipeline. Requirements: 9 items; Responsibilities: 7 items."
2,2,0,2,0,4.28,2,9,15,3,0,40.4,46.9,93.7,38.8,45.3,43.3,46158,70700,11064.26,1.667,12.853,1.288,"Mid Design role. Focus on wireframes, UX/UI, and usability. Requirements: 15 items; Responsibilities: 9 items."
3,3,0,0,0,9.41,1,16,16,7,1,55.9,28.8,36.9,84.8,62.7,39.5,80427,104406,8880.52,1.0,9.645,1.095,"Senior Sales role. Focus on closing, CRM, and account. Requirements: 16 items; Responsibilities: 16 items."
0,4,0,3,1,9.11,3,16,18,14,0,85.9,74.3,46.3,69.4,53.9,56.7,84477,142980,11248.13,1.125,11.371,2.717,"Lead Software role. Focus on API, frontend, and microservices. Requirements: 18 items; Responsibilities: 16 items."
0,0,0,4,1,2.12,1,7,6,6,2,78.3,35.0,22.9,23.9,45.6,25.8,29861,45236,12017.5,0.857,17.801,0.133,"Intern Software role. Focus on code review, microservices, and CI/CD. Requirements: 6 items; Responsibilities: 7 items."
5,2,0,3,0,4.68,2,13,14,8,1,44.5,41.1,66.4,61.0,56.2,87.1,39463,63623,9076.56,1.077,13.2,2.18,"Mid Operations role. Focus on logistics, quality, and coordination. Requirements: 14 items; Responsibilities: 13 items."
4,3,0,0,0,7.28,2,14,16,13,1,36.0,70.4,65.9,38.8,72.3,56.1,56971,78923,8203.56,1.143,11.313,2.221,"Senior Marketing role. Focus on content, brand, and campaigns. Requirements: 16 items; Responsibilities: 14 items."
2,3,0,3,0,10.93,2,20,11,13,2,42.8,85.8,77.1,69.3,29.3,74.8,57710,118219,7374.26,0.55,12.23,2.225,"Senior Design role. Focus on user research, wireframes, and prototypes. Requirements: 11 items; Responsibilities: 20 items."
2,3,1,1,0,5.98,2,16,17,14,0,43.6,38.4,60.0,38.5,35.9,27.7,68647,71496,10039.73,1.062,7.398,1.598,"Senior Design role. Focus on prototypes, wireframes, and user research. Requirements: 17 items; Responsibilities: 16 items."
4,2,0,5,0,3.82,1,11,12,16,2,52.1,71.7,46.8,46.2,100.0,68.6,62323,90720,15891.61,1.091,16.759,1.739,"Mid Marketing role. Focus on content, campaigns, and SEO. Requirements: 12 items; Responsibilities: 11 items."
5,3,1,5,1,9.21,1,13,11,9,0,47.9,42.8,54.0,57.2,41.2,95.3,44917,122066,8177.74,0.846,14.098,0.739,"Senior Operations role. Focus on reporting, coordination, and process. Requirements: 11 items; Responsibilities: 13 items."
2,2,0,1,0,5.36,1,10,10,7,1,45.8,57.9,46.2,47.4,26.1,8.0,43100,57192,7888.53,1.0,11.563,1.483,"Mid Design role. Focus on user research, prototypes, and UX/UI. Requirements: 10 items; Responsibilities: 10 items."
5,1,2,3,1,2.87,0,11,12,6,2,36.8,41.9,40.2,37.1,35.9,81.6,42022,50804,12003.55,1.091,11.886,1.512,"Junior Operations role. Focus on process, logistics, and coordination. Requirements: 12 items; Responsibilities: 11 items."
0,2,0,5,1,5.57,2,7,15,7,0,64.3,37.6,35.9,68.7,49.9,62.7,68758,78479,11202.54,2.143,14.499,1.768,"Mid Software role. Focus on microservices, frontend, and API. Requirements: 15 items; Responsibilities: 7 items."
0,2,0,5,0,9.43,0,13,12,7,0,55.1,38.9,57.0,49.3,40.1,52.7,58092,110510,8084.41,0.923,11.727,1.149,"Mid Software role. Focus on code review, CI/CD, and frontend. Requirements: 12 items; Responsibilities: 13 items."
5,2,0,4,1,4.05,1,9,16,8,1,43.9,49.0,50.2,57.2,42.6,79.5,35156,36156,7060.1,1.778,12.893,1.24,"Mid Operations role. Focus on SOP, process, and reporting. Requirements: 16 items; Responsibilities: 9 items."
1,3,1,3,1,7.6,1,8,17,12,1,32.9,95.7,47.9,50.6,51.3,42.5,88818,138834,13235.8,2.125,12.837,2.417,"Senior Data role. Focus on SQL, ETL, and pipelines. Requirements: 17 items; Responsibilities: 8 items."
2,1,0,0,1,3.76,2,11,5,6,1,52.4,25.2,60.0,43.4,56.5,43.5,28185,63456,9624.76,0.455,17.567,-0.105,"Junior Design role. Focus on design system, user research, and wireframes. Requirements: 5 items; Responsibilities: 11 items."
4,3,0,4,0,6.32,2,14,12,11,1,47.9,41.4,65.3,64.4,73.0,59.7,68895,76121,9899.86,0.857,13.524,2.315,"Senior Marketing role. Focus on SEO, brand, and ads. Requirements: 12 items; Responsibilities: 14 items."
1,3,0,2,1,8.05,1,13,16,11,0,62.3,90.1,59.3,70.6,42.7,38.4,114718,115718,12736.65,1.231,12.532,2.252,"Senior Data role. Focus on modeling, dashboard, and ETL. Requirements: 16 items; Responsibilities: 13 items."
1,1,0,0,1,4.24,1,7,7,9,1,28.6,61.5,57.5,50.6,39.2,37.8,52652,54532,10230.42,1.0,19.652,0.547,"Junior Data role. Focus on dashboard, pipelines, and SQL. Requirements: 7 items; Responsibilities: 7 items."
4,1,0,1,0,2.14,1,8,8,2,1,28.5,18.0,19.4,40.2,71.5,44.0,32286,56456,14119.35,1.0,13.855,1.7,"Junior Marketing role. Focus on campaigns, ads, and SEO. Requirements: 8 items; Responsibilities: 8 items."
4,3,0,3,0,10.24,1,11,16,8,2,55.4,52.7,46.4,31.2,88.4,61.6,58915,86250,6458.91,1.455,12.43,1.315,"Senior Marketing role. Focus on ads, SEO, and analytics. Requirements: 16 items; Responsibilities: 11 items."
0,2,0,4,0,3.86,1,14,12,7,1,79.6,23.7,47.0,27.6,54.0,43.3,45281,93029,14216.99,0.857,10.583,2.284,"Mid Software role. Focus on API, frontend, and code review. Requirements: 12 items; Responsibilities: 14 items."
4,3,0,3,1,7.84,2,16,13,15,2,70.7,32.0,56.9,57.8,100.0,29.8,104517,152549,14545.87,0.812,11.97,0.978,"Senior Marketing role. Focus on ads, SEO, and brand. Requirements: 13 items; Responsibilities: 16 items."
1,0,2,3,1,1.65,1,6,3,2,0,19.4,37.4,44.2,47.2,45.2,44.8,20425,43892,12158.01,0.5,26.478,0.35,"Intern Data role. Focus on ETL, experiments, and SQL. Requirements: 3 items; Responsibilities: 6 items."
5,4,0,5,0,15.0,1,15,23,14,1,72.4,48.2,53.9,60.3,40.6,98.9,76509,104593,5659.42,1.533,9.851,2.956,"Lead Operations role. Focus on reporting, quality, and SOP. Requirements: 23 items; Responsibilities: 15 items."
0,0,2,4,1,0.0,1,7,3,11,0,70.5,53.3,32.2,32.2,18.9,28.3,17971,35365,26668.08,0.429,23.533,0.579,"Intern Software role. Focus on microservices, backend, and API. Requirements: 3 items; Responsibilities: 7 items."
2,4,1,2,1,11.0,1,17,16,7,1,46.5,52.2,82.6,32.1,21.6,55.4,84057,121391,8557.86,0.941,8.795,1.588,"Lead Design role. Focus on UX/UI, user research, and design system. Requirements: 16 items; Responsibilities: 17 items."
5,2,0,3,0,10.1,0,11,15,8,0,37.7,53.1,47.0,47.1,33.2,85.2,80569,81569,7303.8,1.364,11.667,1.622,"Mid Operations role. Focus on quality, logistics, and coordination. Requirements: 15 items; Responsibilities: 11 items."
4,2,1,3,0,4.79,1,9,12,12,2,49.3,37.3,26.9,34.1,71.4,22.7,55522,71646,10976.72,1.333,11.512,1.775,"Mid Marketing role. Focus on SEO, content, and brand. Requirements: 12 items; Responsibilities: 9 items."
4,1,0,0,1,5.14,2,8,7,4,1,27.3,55.2,23.4,41.8,73.1,33.0,46763,47763,7694.16,0.875,16.916,1.009,"Junior Marketing role. Focus on content, analytics, and ads. Requirements: 7 items; Responsibilities: 8 items."
3,3,0,0,0,8.52,2,13,12,13,1,59.0,48.4,47.5,80.9,52.5,35.8,63253,90659,8086.61,0.923,12.965,1.188,"Senior Sales role. Focus on closing, quota, and pipeline. Requirements: 12 items; Responsibilities: 13 items."
1,1,0,3,0,1.36,1,8,13,9,1,64.1,73.8,44.1,54.5,49.1,28.7,33844,70432,22093.42,1.625,14.963,1.024,"Junior Data role. Focus on pipelines, modeling, and experiments. Requirements: 13 items; Responsibilities: 8 items."
4,3,0,2,1,8.86,1,12,17,6,1,45.6,60.0,59.9,36.0,84.1,57.5,64237,127977,9749.29,1.417,11.831,1.329,"Senior Marketing role. Focus on SEO, content, and analytics. Requirements: 17 items; Responsibilities: 12 items."
3,2,1,3,1,4.29,1,14,7,7,1,49.5,51.7,52.8,84.6,55.7,34.8,48140,84650,12546.59,0.5,15.671,1.988,"Mid Sales role. Focus on quota, closing, and leads. Requirements: 7 items; Responsibilities: 14 items."
5,3,0,1,0,8.27,0,14,11,12,1,46.0,62.7,40.1,18.6,37.2,87.5,58487,79596,7446.38,0.786,11.686,1.609,"Senior Operations role. Focus on process, SOP, and coordination. Requirements: 11 items; Responsibilities: 14 items."
2,2,1,1,0,3.25,2,13,14,6,1,35.0,38.5,90.0,25.2,37.7,54.2,61184,68418,15231.09,1.077,10.389,0.591,"Mid Design role. Focus on user research, design system, and UX/UI. Requirements: 14 items; Responsibilities: 13 items."
2,4,0,0,0,11.94,1,13,22,17,2,54.1,51.3,69.7,85.9,57.8,52.0,101963,125861,8801.17,1.692,10.595,2.205,"Lead Design role. Focus on user research, UX/UI, and wireframes. Requirements: 22 items; Responsibilities: 13 items."
0,2,0,2,1,1.7,1,13,11,11,2,85.9,26.0,41.8,53.9,38.2,46.8,50865,63256,21147.56,0.846,12.192,1.576,"Mid Software role. Focus on microservices, code review, and CI/CD. Requirements: 11 items; Responsibilities: 13 items."
1,1,0,4,1,3.25,2,8,12,14,0,28.7,98.9,9.3,47.2,58.9,40.6,54783,77708,15588.75,1.5,14.181,1.498,"Junior Data role. Focus on ETL, modeling, and dashboard. Requirements: 12 items; Responsibilities: 8 items."
1,3,0,2,1,10.55,2,12,10,10,1,44.9,78.3,41.8,57.4,40.3,60.1,108877,109877,9466.63,0.833,14.672,2.544,"Senior Data role. Focus on experiments, modeling, and dashboard. Requirements: 10 items; Responsibilities: 12 items."
